Alphabetically,

Berserk | written by Kentaro Miura
Blood and Iron: A Novel of the Promethean Age | written by Elizabeth Bear
Bloodborne | developed by FromSoftware
Blood Meridian; or, The Evening Redness in the West | written by Cormac McCarthy
Castlevania: Symphony of the Night | developed by Konami Computer Entertainment Tokyo
Danganronpa: Trigger Happy Havoc | developed by Spike
Danger Days: The True Lives of the Fabulous Killjoys | recorded by My Chemical Romance
Devil May Cry | developed by Capcom Production Studio 4
Dreamside Maroon | developed by terraced
EarthBound | developed by Ape Inc. and HAL Laboratory
Eat-Man | written by Akihito Yoshitomi
Fate/stay night | developed by Type-Moon
Final Fantasy 8 | developed by Square
Grey | written by Jon Armstrong
Half-Life | developed by Valve
Heartwork (Deluxe) | recorded by The Used
Hellsing | written by Kouta Hirano
Hurry Up, We're Dreaming | recorded by M83
The Illusion of Gaia | developed by Quintet
Jerusalem | written by Alan Moore
Killer7 | developed by Grasshopper Manufacture and Capcom
The Magicians Trilogy | written by Lev Grossman
Mega Man Legends | developed by Capcom Production Studio 2
Metal Gear Solid | developed by Konami Computer Entertainment Japan
Metal Gear Solid 4: Guns of the Patriots | developed by Kojima Productions
Metal Gear Solid V: The Phantom Pain | developed by Konami Digital Entertainment
Neon Genesis Evangelion | produced by Gainax
Outlaw Star | produced by Sunrise
Pokemon Blue Version | developed by Game Freak
The Sane Society | written by Erich Fromm
Saturdays = Youth | recorded by M83
Shin Megami Tensei III: Nocturne | developed by Atlus
Sisters of the Red Death | recorded by Vendetta Red
Star Fox | developed by Nintendo EAD and Argonaut Software
Star Fox 64 | developed by Nintendo EAD
The Strange Bird: A Borne Story | written by Jeff VanderMeer
Strange Desire | recorded by Bleachers
Worm | written by John C. "Wildbow" McCrae
